"Age","Total males","Total females","Total"
"0","203968","191380","395348"
"1","206457","195997","402454"
"2","211046","198677","409723"
"3","219154","208065","427219"
"4","229863","216861","446724"
"5","240259","226363","466622"
"6","246571","233760","480331"
"7","253188","239251","492439"
"8","260787","246234","507021"
"9","264658","249747","514405"
"10","276098","260586","536684"
"11","281024","264859","545883"
"12","289472","271991","561463"
"13","293739","276509","570248"
"14","297046","280564","577610"
"15","297391","279163","576554"
"16","298599","279585","578184"
"17","297619","278059","575678"
"18","301360","282489","583849"
"19","297279","276671","573950"
"20","296590","275530","572120"
"21","301836","279003","580839"
"22","310282","283722","594004"
"23","309038","280571","589609"
"24","313299","281686","594985"
"25","310157","283161","593318"
"26","310103","284913","595016"
"27","307623","284758","592381"
"28","308862","289601","598463"
"29","312660","296419","609079"
"30","325236","309268","634504"
"31","323031","309785","632816"
"32","329611","315784","645395"
"33","326191","317416","643607"
"34","334613","325045","659658"
"35","327153","320066","647219"
"36","328128","322291","650419"
"37","337305","333188","670493"
"38","343828","339842","683670"
"39","349785","346020","695805"
"40","361013","358824","719837"
"41","362289","361856","724145"
"42","372574","369601","742175"
"43","382249","383228","765477"
"44","402539","402930","805469"
"45","414240","417360","831600"
"46","431937","435408","867345"
"47","451742","456290","908032"
"48","469420","474509","943929"
"49","465152","472809","937961"
"50","470049","476472","946521"
"51","472221","482685","954906"
"52","467571","477896","945467"
"53","478695","490749","969444"
"54","473639","486960","960599"
"55","473758","489725","963483"
"56","478635","492662","971297"
"57","476139","491233","967372"
"58","480494","497652","978146"
"59","446897","468467","915364"
"60","428978","452536","881514"
"61","417506","443210","860716"
"62","402654","428559","831213"
"63","390399","416976","807375"
"64","369644","398452","768096"
"65","363179","393494","756673"
"66","353413","384653","738066"
"67","343776","376658","720434"
"68","334882","370081","704963"
"69","318050","351087","669137"
"70","308681","345131","653812"
"71","304078","342402","646480"
"72","310891","352672","663563"
"73","308022","352094","660116"
"74","314675","365225","679900"
"75","301503","352934","654437"
"76","293180","349678","642858"
"77","219447","266926","486373"
"78","218824","271183","490007"
"79","211157","270025","481182"
"80","201268","262849","464117"
"81","193453","259038","452491"
"82","201945","277199","479144"
"83","187588","263259","450847"
"84","168211","245218","413429"
"85","142338","215135","357473"
"86","119197","190403","309600"
"87","108884","181089","289973"
"88","91756","161696","253452"
"89","75908","141340","217248"
"90","61012","122465","183477"
"91","49910","105894","155804"
"92","40758","94138","134896"
"93","28824","71772","100596"
"94","20835","56802","77637"
"95","14946","43936","58882"
"96","9997","32626","42623"
"97","6589","23767","30356"
"98","4276","16723","20999"
"99","2833","11695","14528"
"100 and over","3730","18142","21872"
